 -26.45789	2.72158	139	3.11796
 -25.39958	2.97117	352	3.12039
 -24.34126	3.64973	355	3.12298
 -23.28295	3.93455	354	3.12574
 -22.22463	3.82325	352	3.12870
 -21.16632	3.05871	299	3.13188
 -20.10800	3.16611	296	3.13531
 -19.04968	3.18974	294	3.13902
 -17.99137	2.95297	293	3.14305
 -16.93305	2.73332	382	3.14745
 -15.87474	2.97686	292	3.15228
 -14.81642	2.68656	269	3.15763
 -13.75811	2.83115	271	3.16358
 -12.69979	3.00835	270	3.17026
 -11.64147	2.82625	268	3.17783
 -10.58316	2.68316	136	3.18651
 -9.52484	2.46466	126	3.19660
 -8.46653	2.84803	122	3.20852
 -7.40821	2.59056	119	3.22292
 -6.34989	2.53493	135	3.24078
 -5.29158	2.60932	121	3.26376
 -4.23326	2.51909	120	3.29490
 -3.17495	2.59999	135	3.34052
 -2.11663	2.57480	97	3.41705
 -1.05832	2.67468	96	3.58680
 0.00000	2.66548	81	3.85567
 1.05832	2.42241	34	3.58680
 2.11663	2.62425	94	3.41705
 3.17495	2.52424	132	3.34052
 4.23326	2.44942	33	3.29490
 5.29158	2.51700	104	3.26376
 6.34989	2.72145	99	3.24078
 7.40821	2.70113	93	3.22292
 8.46653	2.50322	93	3.20852
 9.52484	2.53049	30	3.19660
 10.58316	2.33315	1003	3.18651
 11.64147	2.36650	26	3.17783
 12.69979	2.62106	983	3.17026
 13.75811	2.31307	979	3.16358
 14.81642	2.33061	974	3.15763
 15.87474	2.38965	966	3.15228
 16.93305	2.35774	962	3.14745
 17.99137	2.07498	960	3.14305
 19.04968	1.88686	758	3.13902
 20.10800	1.89713	964	3.13531
 21.16632	1.84212	685	3.13188
 22.22463	2.23666	726	3.12870
 23.28295	2.27720	718	3.12574
 24.34126	2.04247	720	3.12298
 25.39958	2.24042	719	3.12039
 26.45789	2.29292	682	3.11796
