1	5.50	966
2	4.46	889
3	4.25	889
4	4.69	710
5	4.71	887
6	5.23	709
7	4.51	708
8	4.12	709
9	4.39	121
10	4.01	888
11	4.35	707
12	3.86	134
13	4.47	83
14	4.49	83
15	4.59	134
16	4.55	134
17	4.69	134
18	5.21	135
19	4.51	135
20	4.49	135
21	4.41	135
22	4.24	135
23	4.23	134
24	4.37	134
25	4.25	134
26	4.45	134
27	4.06	134
28	3.92	134
29	3.12	255
30	3.04	97
31	3.07	97
32	3.10	96
33	3.49	255
34	3.30	96
35	3.27	255
36	3.17	312
37	3.19	312
38	3.17	312
39	3.13	311
40	3.20	311
41	3.47	311
42	3.45	312
43	3.20	312
44	3.12	312
45	2.88	312
46	2.90	311
47	3.04	96
48	3.12	96
49	3.13	97
50	3.15	96
51	3.16	311
52	3.15	311
53	3.18	311
54	3.30	311
55	3.22	311
56	3.27	311
57	3.18	311
58	3.09	311
59	3.05	96
60	3.05	255
61	3.11	255
62	3.16	96
63	3.22	96
64	3.09	96
65	3.05	255
66	3.06	255
67	2.94	255
68	2.94	255
69	2.90	95
70	2.71	255
71	2.68	255
72	2.53	255
73	2.60	255
74	2.47	255
75	2.31	35
76	2.29	35
77	2.32	255
78	2.32	255
79	2.34	34
80	2.32	34
81	2.35	255
82	2.35	255
83	2.30	210
84	2.23	113
85	2.28	113
86	2.33	114
87	2.36	114
88	2.43	114
89	2.44	210
90	2.51	210
91	2.47	210
92	2.39	210
93	2.40	114
94	2.35	113
95	2.39	114
96	2.42	114
97	2.41	114
98	2.46	80
99	2.39	81
100	2.46	81
101	2.48	80
102	2.48	80
103	2.49	81
104	2.49	81
105	2.50	81
106	2.56	80
107	2.57	80
108	2.62	211
109	2.58	211
110	2.59	81
111	2.59	81
112	2.62	80
113	2.63	80
114	2.63	81
115	2.63	81
116	2.61	81
117	2.64	80
118	2.63	80
119	2.66	81
120	2.72	80
121	2.73	80
122	2.73	80
123	2.70	80
124	2.70	80
125	2.74	80
126	2.75	80
127	2.73	80
128	2.68	80
