0	2.77	17	0.00
1	2.85	987	0.24
2	2.51	523	0.33
3	2.96	132	0.41
4	2.42	611	0.47
5	3.07	714	0.53
6	3.41	262	0.58
7	3.07	86	0.63
8	2.80	288	0.67
9	2.66	493	0.71
10	2.38	1001	0.75
11	2.76	913	0.79
12	2.68	566	0.82
13	3.41	349	0.85
14	3.04	723	0.89
15	2.85	313	0.92
16	2.19	873	0.95
17	3.53	43	0.98
18	3.53	268	1.00
19	3.62	966	1.03
20	2.46	531	1.06
21	2.40	397	1.08
22	4.01	709	1.11
23	2.69	821	1.14
24	2.61	591	1.16
25	2.50	316	1.18
26	3.30	534	1.21
27	2.92	647	1.23
28	2.32	208	1.25
29	2.58	621	1.27
30	2.78	720	1.30
31	4.11	546	1.32
32	2.98	711	1.34
33	4.03	446	1.36
34	2.04	685	1.38
35	3.63	782	1.40
36	2.62	896	1.42
37	2.58	254	1.44
38	2.83	361	1.46
39	3.17	190	1.48
40	2.92	311	1.50
41	2.30	893	1.52
42	4.45	194	1.53
43	3.00	486	1.55
44	3.88	140	1.57
45	2.09	693	1.59
46	2.34	653	1.61
47	1.74	309	1.62
48	5.68	967	1.64
49	2.01	615	1.66
50	2.30	334	1.67
51	3.48	116	1.69
52	1.90	631	1.71
53	3.71	925	1.72
54	2.06	254	1.74
55	4.20	843	1.76
56	2.31	642	1.77
57	5.09	763	1.79
58	1.95	1019	1.80
59	2.79	911	1.82
60	1.96	87	1.83
61	3.35	32	1.85
62	2.21	253	1.86
63	2.19	849	1.88
64	2.59	305	1.89
65	3.22	285	1.91
66	1.63	991	1.92
67	2.61	238	1.94
68	2.74	884	1.95
69	2.75	271	1.97
70	3.36	408	1.98
71	1.82	743	1.99
72	2.87	287	2.01
73	2.66	933	2.02
74	1.99	922	2.04
75	2.25	810	2.05
76	2.78	1023	2.06
77	2.55	245	2.08
78	4.59	569	2.09
79	3.47	890	2.10
80	2.67	402	2.12
81	2.95	643	2.13
82	2.69	884	2.14
83	1.98	65	2.16
84	2.24	84	2.17
85	1.81	817	2.18
86	2.71	1000	2.20
87	2.66	213	2.21
88	3.21	608	2.22
89	3.29	14	2.23
90	3.22	106	2.25
91	2.91	11	2.26
92	2.43	224	2.27
93	2.00	549	2.28
94	3.25	700	2.30
95	2.09	825	2.31
96	3.12	388	2.32
97	2.50	826	2.33
98	2.09	114	2.34
99	2.34	0	2.36
100	1.75	139	2.37
101	2.76	570	2.38
102	1.92	926	2.39
103	2.51	171	2.40
104	1.99	82	2.41
105	3.43	384	2.43
106	1.87	8	2.44
107	3.32	317	2.45
108	1.99	93	2.46
109	1.99	752	2.47
110	2.98	372	2.48
111	2.02	615	2.49
112	1.91	238	2.51
113	2.55	330	2.52
114	2.25	140	2.53
115	2.24	510	2.54
116	1.85	907	2.55
117	2.28	945	2.56
118	1.87	510	2.57
119	2.18	369	2.58
120	1.61	609	2.59
121	1.99	16	2.60
122	2.14	536	2.61
123	2.65	948	2.63
124	3.85	39	2.64
125	1.54	310	2.65
126	2.38	253	2.66
127	1.59	309	2.67
