-210.58	2.58	253
-206.37	2.54	253
-202.16	2.55	254
-197.95	2.52	254
-193.74	2.51	253
-189.53	2.48	254
-185.31	2.45	253
-181.10	2.49	243
-176.89	2.51	244
-172.68	2.50	244
-168.47	2.50	244
-164.26	2.53	244
-160.04	2.42	260
-155.83	2.54	245
-151.62	2.44	260
-147.41	2.46	259
-143.20	2.46	260
-138.99	2.45	259
-134.77	2.44	259
-130.56	2.45	259
-126.35	2.44	258
-122.14	2.43	257
-117.93	2.42	258
-113.72	2.46	256
-109.50	2.50	255
-105.29	2.52	254
-101.08	2.53	253
-96.87	2.56	254
-92.66	2.59	253
-88.44	2.57	253
-84.23	2.57	253
-80.02	2.62	254
-75.81	2.73	211
-71.60	2.74	211
-67.39	2.80	212
-63.18	2.88	212
-58.96	2.91	212
-54.75	2.98	212
-50.54	3.03	212
-46.33	3.03	212
-42.12	3.07	212
-37.90	3.10	212
-33.69	3.10	212
-29.48	3.09	212
-25.27	3.11	212
-21.06	3.10	212
-16.85	3.12	211
-12.64	3.11	211
-8.42	3.12	211
-4.21	3.13	211
0.00	3.13	211
4.21	3.13	211
8.42	3.13	211
12.64	3.13	211
16.85	3.10	211
21.06	3.10	211
25.27	3.09	211
29.48	3.06	211
33.69	3.00	210
37.90	3.01	210
42.12	2.98	210
46.33	2.95	209
50.54	2.95	208
54.75	2.94	207
58.96	2.95	207
63.18	2.97	207
67.39	2.96	206
71.60	2.94	206
75.81	2.97	206
80.02	2.95	206
84.23	2.91	206
88.44	2.91	206
92.66	2.87	205
96.87	2.87	206
101.08	2.80	205
105.29	2.76	205
109.50	2.71	205
113.72	2.69	204
117.93	2.61	203
122.14	2.29	1006
126.35	2.53	202
130.56	2.47	202
134.77	2.45	201
138.99	2.21	1014
143.20	2.24	1014
147.41	2.27	1014
151.62	2.26	1014
155.83	2.25	1014
160.04	2.28	1014
164.26	2.26	22
168.47	2.38	22
172.68	2.38	22
176.89	2.41	22
181.10	2.46	22
185.31	2.50	22
189.53	2.51	22
193.74	2.55	22
197.95	2.57	22
202.16	2.59	22
206.37	2.63	23
210.58	2.62	23
