0	2.77	17
1	2.30	29
2	2.79	525
3	3.16	525
4	2.72	526
5	3.26	137
6	3.11	136
7	3.31	136
8	3.59	136
9	3.56	135
10	3.81	135
11	3.37	136
12	3.49	136
13	3.60	135
14	3.66	136
15	4.36	136
16	4.53	135
17	5.20	135
18	4.53	135
19	4.51	135
20	4.43	135
21	4.26	135
22	4.22	135
23	4.37	135
24	4.05	135
25	4.41	135
26	4.04	135
27	3.91	134
28	3.03	135
29	2.95	135
30	2.66	134
31	2.42	134
32	2.47	134
33	2.33	368
34	2.39	34
35	2.66	35
36	2.32	35
37	2.39	35
38	2.40	35
39	2.47	35
40	2.41	35
41	2.55	369
42	2.53	369
43	2.30	35
44	2.68	96
45	2.34	95
46	2.13	593
47	2.06	592
48	2.10	592
49	2.13	593
50	2.22	255
51	2.11	255
52	2.31	255
53	2.31	255
54	2.48	255
55	2.58	255
56	2.37	255
57	2.35	255
58	2.26	255
59	2.37	255
60	2.60	255
61	3.21	96
62	3.28	96
63	3.16	96
64	2.98	96
65	3.09	255
66	2.90	255
67	2.96	255
68	2.93	96
69	2.74	255
70	2.71	255
71	2.46	255
72	2.64	255
73	2.51	255
74	2.34	255
75	2.01	34
76	2.04	34
77	2.19	34
78	2.34	35
79	2.33	35
80	2.40	255
81	2.40	255
82	2.33	255
83	2.13	255
84	2.12	255
85	2.17	255
86	1.99	255
87	2.02	255
88	1.92	255
89	1.86	255
90	1.87	255
91	1.78	712
92	1.75	255
93	2.01	254
94	1.95	254
95	1.97	254
96	1.93	254
97	1.99	254
98	2.25	81
99	2.35	81
100	2.34	81
101	2.42	81
102	2.42	81
103	2.44	81
104	2.46	81
105	2.49	81
106	2.56	81
107	2.49	81
108	2.55	81
109	2.57	81
110	2.58	81
111	2.52	81
112	2.50	81
113	2.49	81
114	2.50	96
115	2.44	96
116	2.30	81
117	2.41	81
118	2.53	81
119	2.60	81
120	2.73	81
121	2.72	81
122	2.69	81
123	2.69	81
124	2.70	81
125	2.74	81
126	2.72	81
127	2.67	81
