25	2.11	593 	1.13
26	2.11	255 	1.11
27	1.98	256 	1.04
28	2.31	256 	1.15
29	2.36	711 	1.37
30	2.44	255 	1.35
31	2.48	255 	1.42
32	2.22	593 	1.27
33	2.23	311 	1.15
34	2.38	593 	1.45
35	2.24	593 	1.26
36	2.48	255 	1.60
37	2.81	96 	2.31
38	3.15	96 	2.36
39	2.98	97 	2.30
40	2.79	96 	2.18
41	2.96	311 	1.51
42	2.71	255 	1.79
43	3.00	255 	1.72
44	2.69	96 	1.92
45	2.38	97 	1.64
46	2.26	213 	1.48
47	2.47	708 	0.91
48	2.08	785 	0.88
49	2.14	786 	0.72
50	1.89	786 	0.67
51	2.23	710 	0.71
52	2.27	711 	0.91
53	1.87	210 	1.09
54	1.57	713 	1.06
55	1.83	255 	1.20
56	1.73	255 	1.18
57	1.83	834 	1.01
58	1.98	755 	0.62
59	1.88	755 	1.01
60	1.59	755 	1.08
61	1.60	254 	0.89
62	1.68	254 	0.91
63	1.83	210 	1.09
64	1.86	210 	0.97
65	1.56	210 	0.81
66	1.77	736 	0.76
67	1.92	737 	0.85
68	1.88	737 	0.94
69	1.84	738 	0.94
70	1.92	738 	1.06
71	1.43	892 	1.23
72	1.51	212 	1.31
73	1.40	1010 	1.29
74	1.67	82 	1.63
75	1.65	82 	1.62
76	1.63	1010 	1.52
77	1.63	1010 	1.49
78	1.76	47 	1.60
79	1.83	47 	1.62
80	1.81	47 	1.65
81	1.89	47 	1.67
82	1.81	11 	1.57
83	1.78	11 	1.52
84	1.75	11 	1.53
85	1.78	11 	1.61
86	1.80	11 	1.60
87	1.69	10 	1.29
88	1.76	9 	1.35
89	1.78	47 	1.41
90	1.85	47 	1.47
91	1.83	9 	1.51
92	1.80	47 	1.43
93	1.87	47 	1.44
94	2.11	47 	1.56
95	2.24	47 	1.69
96	2.34	47 	2.03
97	2.26	47 	2.15
98	2.34	113 	2.30
99	2.35	79 	2.34
100	2.50	47 	2.36
101	2.41	48 	2.39
102	2.39	79 	2.37
103	2.60	164 	2.43
