25	2.81	134 	2.70
26	3.03	526 	2.34
27	2.87	526 	2.81
28	3.28	133 	3.26
29	2.73	133 	2.72
30	2.88	247 	2.85
31	3.33	132 	3.33
32	2.54	133 	2.53
33	2.45	133 	2.42
34	3.25	246 	2.14
35	2.90	246 	1.72
36	2.60	246 	2.32
37	2.69	247 	2.48
38	2.31	246 	2.07
39	2.80	133 	2.74
40	3.07	133 	3.03
41	2.50	714 	2.48
42	2.72	132 	2.72
43	2.84	132 	2.84
44	3.40	132 	3.40
45	3.14	132 	3.14
46	2.78	132 	2.78
47	2.78	132 	2.78
48	2.21	132 	2.21
49	2.41	689 	2.13
50	2.38	132 	2.38
51	2.51	132 	2.51
52	2.65	132 	2.65
53	2.33	246 	1.99
54	2.14	245 	1.58
55	2.32	246 	1.33
56	2.38	812 	1.40
57	2.46	713 	0.79
58	2.57	246 	0.91
59	2.38	1003 	1.29
60	3.02	85 	1.70
61	2.46	83 	1.40
62	2.50	82 	1.47
63	2.55	82 	1.39
64	2.19	814 	0.73
65	2.72	72 	1.30
66	2.78	82 	1.55
67	2.55	73 	1.57
68	2.66	64 	1.82
69	2.54	64 	1.42
70	2.23	63 	1.26
71	2.17	63 	1.53
72	2.22	613 	1.48
73	2.63	63 	1.32
74	2.86	64 	1.68
75	2.98	64 	1.32
76	2.97	64 	0.99
77	2.87	64 	0.47
78	2.96	64 	0.51
79	3.09	64 	1.14
80	3.11	64 	1.15
81	2.77	64 	1.32
82	2.47	64 	1.46
83	2.44	64 	1.42
84	2.86	74 	1.76
85	3.51	75 	2.39
86	3.40	75 	2.20
87	3.34	75 	2.41
88	3.51	75 	2.63
89	3.49	75 	2.55
90	3.67	75 	2.42
91	2.98	75 	2.71
92	2.98	77 	2.66
93	3.12	77 	2.83
94	3.17	133 	3.14
95	3.18	133 	3.12
96	3.01	133 	2.93
97	3.48	79 	2.45
98	3.12	41 	2.27
99	3.33	134 	3.15
100	3.52	134 	3.41
101	3.12	133 	3.09
102	2.98	133 	2.93
103	3.59	133 	3.57
