-210.58	4.03	114	-500	0.16
-206.37	4.08	114	-490	0.16
-202.16	4.04	114	-480	0.16
-197.95	4.17	113	-470	0.17
-193.74	4.15	113	-460	0.17
-189.53	4.16	113	-450	0.17
-185.31	4.12	113	-440	0.18
-181.10	4.23	113	-430	0.18
-176.89	4.15	112	-420	0.18
-172.68	4.23	112	-410	0.19
-168.47	4.23	112	-400	0.19
-164.26	4.11	112	-390	0.19
-160.04	4.11	112	-380	0.20
-155.83	4.00	112	-370	0.20
-151.62	3.97	112	-360	0.21
-147.41	3.90	113	-350	0.21
-143.20	3.83	113	-340	0.22
-138.99	3.80	113	-330	0.22
-134.77	3.73	113	-320	0.23
-130.56	3.55	114	-310	0.24
-126.35	3.48	113	-300	0.24
-122.14	3.62	87	-290	0.25
-117.93	3.69	85	-280	0.26
-113.72	3.76	86	-270	0.26
-109.50	3.80	86	-260	0.27
-105.29	3.93	86	-250	0.28
-101.08	3.97	85	-240	0.29
-96.87	4.02	86	-230	0.30
-92.66	4.05	85	-220	0.31
-88.45	4.16	85	-210	0.32
-84.23	4.16	85	-200	0.33
-80.02	4.09	85	-190	0.34
-75.81	4.16	85	-180	0.36
-71.60	3.95	135	-170	0.37
-67.39	3.93	136	-160	0.39
-63.18	4.09	135	-150	0.40
-58.96	4.24	135	-140	0.42
-54.75	4.32	135	-130	0.44
-50.54	4.37	135	-120	0.46
-46.33	4.55	135	-110	0.48
-42.12	4.59	135	-100	0.51
-37.91	4.63	135	-90	0.53
-33.69	4.68	135	-80	0.56
-29.48	4.73	135	-70	0.59
-25.27	4.74	135	-60	0.62
-21.06	4.83	134	-50	0.65
-16.85	4.81	134	-40	0.69
-12.64	4.88	134	-30	0.73
-8.42	4.89	134	-20	0.77
-4.21	4.90	134	-10	0.81
0.00	4.90	134	0	0.85
4.21	4.90	134	10	0.89
8.42	4.92	134	20	0.92
12.64	4.93	134	30	0.95
16.85	5.00	134	40	0.98
21.06	5.00	134	50	0.99
25.27	5.08	133	60	1.00
29.48	5.09	133	70	1.00
33.69	5.13	133	80	0.99
37.91	5.16	132	90	0.97
42.12	5.14	132	100	0.94
46.33	5.11	132	110	0.91
50.54	5.03	132	120	0.88
54.75	5.06	131	130	0.84
58.96	5.00	131	140	0.80
63.18	4.96	130	150	0.76
67.39	4.95	130	160	0.72
71.60	4.95	129	170	0.68
75.81	4.95	128	180	0.64
80.02	4.91	128	190	0.61
84.23	5.02	127	200	0.58
88.45	5.02	127	210	0.55
92.66	4.97	126	220	0.52
96.87	4.92	126	230	0.50
101.08	4.85	127	240	0.48
105.29	4.76	127	250	0.45
109.50	4.58	127	260	0.43
113.72	4.58	126	270	0.42
117.93	4.43	126	280	0.40
122.14	4.24	126	290	0.38
126.35	4.20	123	300	0.37
130.56	4.07	127	310	0.35
134.77	4.39	120	320	0.34
138.99	4.36	120	330	0.33
143.20	4.29	120	340	0.32
147.41	4.45	119	350	0.31
151.62	4.45	119	360	0.30
155.83	4.35	119	370	0.29
160.04	4.43	119	380	0.28
164.26	4.30	119	390	0.27
168.47	4.60	103	400	0.26
172.68	4.60	103	410	0.25
176.89	4.66	103	420	0.25
181.10	4.80	102	430	0.24
185.31	4.85	102	440	0.23
189.53	4.94	102	450	0.23
193.74	4.98	102	460	0.22
197.95	5.06	102	470	0.22
202.16	5.00	102	480	0.21
206.37	5.07	102	490	0.21
210.58	5.03	101	500	0.20
