1	4.02	1023
2	3.54	406
3	4.25	21
4	4.53	21
5	4.41	753
6	4.38	749
7	4.30	135
8	4.08	101
9	4.30	93
10	4.78	132
11	4.96	132
12	5.08	132
13	5.51	132
14	5.30	132
15	4.47	112
16	4.18	112
17	3.88	132
18	3.86	132
19	4.00	132
20	3.93	132
21	3.80	68
22	3.72	131
23	3.84	131
24	4.02	65
25	4.11	65
26	4.21	65
27	4.44	65
28	4.52	65
29	4.59	65
30	4.13	65
31	3.93	247
32	4.17	247
33	4.29	247
34	4.10	133
35	3.92	65
36	3.99	133
37	3.70	132
38	3.88	132
39	3.96	132
40	3.79	64
41	3.89	64
42	3.79	132
43	3.97	132
44	3.97	133
45	3.83	133
46	3.98	133
47	3.80	133
48	3.90	133
49	3.84	132
50	3.67	75
51	3.65	75
52	3.89	75
53	4.08	75
54	3.99	75
55	4.01	75
56	3.82	76
57	3.86	74
58	4.02	74
59	3.84	75
60	3.77	75
61	4.24	75
62	4.38	75
63	4.21	75
64	3.80	75
65	3.82	130
66	3.69	81
67	3.74	130
68	3.83	130
69	3.59	74
70	3.54	130
71	3.70	247
72	3.73	81
73	3.76	246
74	3.77	81
75	3.76	81
76	3.71	131
77	3.51	130
78	3.57	132
79	3.67	130
80	3.55	132
81	3.78	132
82	3.89	132
83	3.54	80
84	3.47	248
85	3.62	132
86	3.54	132
87	3.55	133
88	3.69	133
89	3.69	133
90	3.71	133
91	3.67	133
92	3.81	133
93	3.96	133
94	4.15	132
95	4.25	132
96	4.22	132
97	4.30	132
98	4.30	132
99	4.46	132
100	4.46	132
101	4.46	132
102	4.43	132
103	4.37	132
104	4.34	133
105	4.54	132
106	4.72	132
107	4.65	132
108	4.82	132
109	5.03	132
110	4.73	132
111	4.63	132
112	4.44	132
113	4.52	132
114	4.44	132
115	4.52	132
116	4.84	132
117	4.71	132
118	4.61	132
119	4.82	132
120	4.73	132
121	4.83	132
122	5.14	132
123	4.98	132
124	5.26	132
125	5.17	132
126	5.02	132
127	5.15	132
128	5.15	132
