-210.58	4.12	64
-206.37	4.13	64
-202.16	4.13	64
-197.95	3.98	64
-193.74	4.02	64
-189.53	3.99	64
-185.31	4.01	64
-181.10	3.84	64
-176.89	3.79	64
-172.68	3.78	63
-168.47	3.78	63
-164.26	3.61	61
-160.04	3.59	61
-155.83	3.49	61
-151.62	3.48	61
-147.41	3.29	62
-143.20	3.27	33
-138.99	3.36	33
-134.77	3.40	33
-130.56	3.54	32
-126.35	3.53	31
-122.14	3.50	32
-117.93	3.66	30
-113.72	3.76	31
-109.50	3.73	31
-105.29	3.79	30
-101.08	3.81	30
-96.87	3.84	31
-92.66	3.87	30
-88.45	3.85	30
-84.23	3.85	30
-80.02	3.81	30
-75.81	3.78	30
-71.60	3.72	80
-67.39	3.74	80
-63.18	3.79	80
-58.96	3.85	80
-54.75	3.84	80
-50.54	3.86	80
-46.33	3.96	79
-42.12	3.96	79
-37.91	3.97	79
-33.69	3.99	79
-29.48	4.08	79
-25.27	4.05	79
-21.06	4.07	78
-16.85	4.06	78
-12.64	4.09	79
-8.42	4.09	78
-4.21	4.13	78
0.00	4.13	78
4.21	4.13	78
8.42	4.18	78
12.64	4.13	78
16.85	4.15	78
21.06	4.16	78
25.27	4.10	78
29.48	4.13	78
33.69	4.10	78
37.91	4.00	78
42.12	3.98	78
46.33	3.97	79
50.54	3.94	80
54.75	3.99	80
58.96	4.02	80
63.18	4.14	80
67.39	4.06	80
71.60	4.13	80
75.81	4.23	80
80.02	4.27	80
84.23	4.18	80
88.45	4.18	80
92.66	4.12	80
96.87	4.19	80
101.08	3.97	80
105.29	3.94	80
109.50	3.97	80
113.72	3.93	80
117.93	3.79	80
122.14	3.77	80
126.35	3.79	80
130.56	3.80	79
134.77	3.68	79
138.99	3.66	79
143.20	3.55	78
147.41	3.52	78
151.62	3.36	78
155.83	3.30	78
160.04	3.28	78
164.26	3.25	79
168.47	3.04	80
172.68	3.04	80
176.89	3.08	80
181.10	3.07	80
185.31	2.96	80
189.53	2.92	80
193.74	2.98	80
197.95	2.92	80
202.16	2.91	61
206.37	2.89	50
210.58	2.94	80
