0	2.23	27	0.00
1	1.89	230	0.45
2	1.72	428	0.64
3	2.00	526	0.79
4	1.67	192	0.91
5	2.04	306	1.02
6	1.72	137	1.11
7	2.10	251	1.20
8	1.73	852	1.29
9	1.77	190	1.36
10	1.91	462	1.44
11	2.18	989	1.51
12	1.76	333	1.58
13	2.13	566	1.64
14	1.83	250	1.70
15	2.11	415	1.76
16	1.93	755	1.82
17	1.93	206	1.88
18	2.23	511	1.93
19	2.29	380	1.98
20	1.61	95	2.03
21	2.20	831	2.08
22	1.76	134	2.13
23	2.01	493	2.18
24	1.74	47	2.23
25	2.10	103	2.27
26	2.30	586	2.32
27	2.00	579	2.36
28	1.83	158	2.41
29	1.99	555	2.45
30	3.13	716	2.49
31	1.78	31	2.53
32	1.90	610	2.57
33	1.54	306	2.61
34	1.73	927	2.65
35	1.84	530	2.69
36	2.09	892	2.73
37	1.50	724	2.77
38	1.81	618	2.80
39	1.99	736	2.84
40	2.12	518	2.88
41	1.81	247	2.91
42	1.92	164	2.95
43	1.94	116	2.98
44	1.97	647	3.02
45	1.82	27	3.05
46	1.90	274	3.09
47	1.77	742	3.12
48	1.79	50	3.15
49	2.18	453	3.18
50	1.81	80	3.22
51	2.04	134	3.25
52	1.87	296	3.28
53	1.72	813	3.31
54	2.01	87	3.34
55	1.93	421	3.37
56	1.88	146	3.40
57	1.72	246	3.43
58	1.88	613	3.46
59	1.87	692	3.49
60	2.18	16	3.52
61	1.59	286	3.55
62	2.00	594	3.58
63	1.54	49	3.61
64	1.95	131	3.64
65	1.57	516	3.67
66	2.04	954	3.70
67	2.12	146	3.72
68	2.16	468	3.75
69	2.01	228	3.78
70	2.09	367	3.81
71	1.79	136	3.83
72	1.89	923	3.86
73	1.69	400	3.89
74	2.08	617	3.91
75	1.74	1008	3.94
76	2.19	277	3.97
77	1.78	87	3.99
78	2.18	1001	4.02
79	2.00	810	4.04
80	1.80	10	4.07
81	2.57	733	4.09
82	1.86	292	4.12
83	1.95	912	4.14
84	2.34	42	4.17
85	1.91	905	4.19
86	1.85	571	4.22
87	1.96	824	4.24
88	1.54	489	4.27
89	1.87	974	4.29
90	1.83	531	4.32
91	2.02	995	4.34
92	2.14	235	4.36
93	1.84	9	4.39
94	2.09	433	4.41
95	2.06	411	4.43
96	1.95	335	4.46
97	1.84	1007	4.48
98	1.94	42	4.50
99	1.86	984	4.53
100	2.44	672	4.55
101	2.38	406	4.57
102	1.75	557	4.59
103	2.03	591	4.62
104	1.69	539	4.64
105	2.07	960	4.66
106	1.70	762	4.68
107	2.08	656	4.71
108	1.75	129	4.73
109	1.92	519	4.75
110	1.75	756	4.77
111	1.95	394	4.79
112	1.95	135	4.81
113	2.01	48	4.84
114	1.74	161	4.86
115	1.90	593	4.88
116	1.73	559	4.90
117	1.97	149	4.92
118	1.80	215	4.94
119	2.05	54	4.96
120	2.05	648	4.98
121	1.79	782	5.00
122	1.75	718	5.02
123	2.14	142	5.04
124	1.95	604	5.07
125	1.75	981	5.09
126	1.76	670	5.11
127	2.10	597	5.13
